"filename", "language", "YAML", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "Markdown", "JSON", "PostCSS", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product-search.service.ts", "TypeScript", 0, 0, 0, 253, 0, 0, 0, 0, 35, 49, 337
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.controller.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 0, 7
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.service.spec.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 3, 13, 62
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.service.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 8, 2, 51
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\listeners\review-event.listener.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 3, -1, 15
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.controller.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.module.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\review.service.ts", "TypeScript", 0, 0, 0, -28, 0, 0, 0, 0, 0, -4, -32
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\dto\seller-application-query.dto.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\seller.controller.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\seller.module.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\seller\seller.service.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\listeners\settlement-event.listener.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\settlement\settlement.controller.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\user.controller.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\CSP_SECURITY_GUIDE.md", "Markdown", 0, 0, 0, 0, 0, 177, 0, 0, 1, 48, 226
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\ERRORS.md", "Markdown", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 85
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\SECURITY_RECOMMENDATIONS.md", "Markdown", 0, 0, 0, 0, 0, 503, 0, 0, 0, 103, 606
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\SOLUTION.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\10. Integrate_pagination_logic_into_product_findAll_API.md", "Markdown", 0, 0, 0, 0, 0, 336, 0, 0, 0, 83, 419
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\11. Identify_pagination_candidates_across_backend_APIs.md", "Markdown", 0, 0, 0, 0, 0, 175, 0, 0, 0, 51, 226
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\12. Implement_Elasticsearch_search_functionality.md", "Markdown", 0, 0, 0, 0, 0, 410, 0, 0, 0, 140, 550
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\13. Manage_login_state_across_browser_tabs.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\13_Manage_login_state_across_browser_tabs.md", "Markdown", 0, 0, 0, 0, 0, 225, 0, 0, 0, 77, 302
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\chat\14. Implement_checkout_and_payment_flow_with_Portone.md", "Markdown", 0, 0, 0, 0, 0, 258, 0, 0, 0, 102, 360
"c:\Users\kiria\Desktop\fullstack\shopping_mall\docs\frontend-architecture.md.md", "Markdown", 0, 0, 0, 0, 0, 211, 0, 0, 0, 11, 222
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(auth)\check-email\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 0, 11, 77
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(auth)\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(auth)\verify-email\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 9, 74
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\audit-logs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\categories\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\orders\[orderNumber]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\products\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\sellers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\admin\settlements\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\cart\CartItemRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 5, 15, 102
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\cart\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 5, 20, 142
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\checkout\complete\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 9, 23, 164
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 265, 0, 0, 0, 17, 35, 317
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\cart\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\inquiries\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\orders\[orderNumber]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 412, 0, 0, 0, 23, 39, 474
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 218, 0, 0, 0, 11, 26, 255
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\reviews\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\seller-apply\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\wishlist\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 6, 7, 53
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\product\Products.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 8, 23
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\ProductsClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 206, 0, 0, 0, 7, 25, 238
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\ProductDetailClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 6, 8, 52
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\ProductGallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 6, 14, 101
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\ProductInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 279, 0, 0, 0, 24, 29, 332
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\ProductTabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 138, 0, 0, 0, 7, 10, 155
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\RelatedProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 8, 64
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\ReviewSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 6, 11, 90
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 3, 10, 67
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\inquiries\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\products\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\products\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\settlements\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -6, 0, 0, 0, 0, -2, -8
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\global.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -14, 0, 0, 0, 0, -4, -18
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -16, 0, 0, 0, -2, -3, -21
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\product\Products.tsx", "TypeScript JSX", 0, 0, 0, 0, -15, 0, 0, 0, 0, -7, -22
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -7, 0, 0, 0, 0, -2, -9
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\banner\Banner.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 7, 13, 75
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\banner\BannerSection.tsx", "TypeScript JSX", 0, 0, 0, 0, -23, 0, 0, 0, 0, -1, -24
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Badge\Badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 1, 9, 83
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Badge\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Button\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 1, 5, 89
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Button\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Card\Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 137, 0, 0, 0, 10, 12, 159
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Card\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Input\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 6, 75
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Input\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Modal\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 13, 16, 147
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Modal\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\SearchBar\CategorySelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 6, 40
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\SearchBar\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Select\Select.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 3, 10, 120
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Select\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Skeleton\Skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Spinner\Spinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 1, 6, 56
"c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Spinner\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
